"Rank","Player","Team","Positions","Yahoo","ESPN","CBS","AVG"
"70","Scoot Henderson","POR","PG OUT","97","60","59","72.0"
"71","Jalen Williams","OKC","PF,SF,SG","64","66","87","72.3"
"72","Klay Thompson","GSW","SG,SF DTD","73","78","67","72.7"
"73","Anfernee Simons","POR","PG,SG OUT","66","82","75","74.3"
"74","Nic Claxton","BKN","C,PF OUT","56","73","95","74.7"
"75","Jalen Green","HOU","PG,SG","74","71","84","76.3"
"76","Austin Reaves","LAL","SF,SG","87","57","88","77.3"
"77","Russell Westbrook III","LAC","PG","109","74","52","78.3"
"78","Jerami Grant","POR","PF","72","98","65","78.3"
"79","Devin Vassell","SAS","SG,SF DTD","67","76","96","79.7"
"80","Terry Rozier","CHA","PG,SG DTD","77","94","73","81.3"
"81","Spencer Dinwiddie","BKN","PG,SG DTD","108","56","83","82.3"
"82","Jonas Valanciunas","NOR","C","96","87","64","82.3"
"83","Andrew Wiggins","GSW","PF,SF","88","77","82","82.3"
"84","Jakob Poeltl","TOR","C","80","80","89","83.0"
"85","Tobias Harris","PHI","SF,PF","89","86","78","84.3"
"86","Brook Lopez","MIL","C","69","90","101","86.7"
"87","Chris Paul","GSW","PG","71","85","104","86.7"
"88","Clint Capela","ATL","C","75","91","102","89.3"
"89","Cameron Johnson","BKN","SF,PF OUT","70","92","109","90.3"
"90","Jabari Smith Jr.","HOU","C,PF","90","100","81","90.3"
"91","D'Angelo Russell","LAL","PG,SG","99","75","106","93.3"
"92","Michael Porter Jr.","DEN","SF","84","108","90","94.0"
"93","Marcus Smart","MEM","PG,SG","85","96","103","94.7"
"94","Buddy Hield","IND","SG,SF","83","88","114","95.0"
"95","John Collins","UTH","PF","101","93","93","95.7"
"96","Jusuf Nurkic","PHO","C","102","107","80","96.3"
"97","Ben Simmons","BKN","PF,PG,SG DTD","121","101","69","97.0"
"98","Keegan Murray","SAC","PF,SF","105","81","105","97.0"
"99","Keldon Johnson","SAS","SF,SG DTD","122","84","85","97.0"
"100","Wendell Carter Jr.","ORL","C OUT","103","102","97","100.7"
"101","Draymond Green","GSW","PF,C DTD","95","110","100","101.7"
"102","Markelle Fultz","ORL","PG,SG OUT","94","123","92","103.0"
"103","RJ Barrett","NYK","SG,SF","126","119","72","105.7"
"104","Jordan Clarkson","UTH","PG,SG","114","95","108","105.7"
"105","Aaron Gordon","DEN","PF","116","104","99","106.3"
"106","Derrick White","BOS","PG,SG DTD","86","114","121","107.0"
"107","Bobby Portis Jr.","MIL","PF,C","112","97","113","107.3"
"108","Mark Williams","CHA","C","91","115","117","107.7"
"109","Tre Jones","SAS","PG","107","89","130","108.7"
